iter	RMSE
0	0.09366222817
1	0.08978794934
2	0.08624589506
3	0.08319738762
4	0.08048601801
5	0.07787118485
6	0.07557986454
7	0.07353280344
8	0.07175764448
9	0.07009826834
10	0.06860301285
11	0.06720770643
12	0.06588370418
13	0.06476353826
14	0.06363790646
15	0.06273778858
16	0.06181806254
17	0.06105826374
18	0.06042381249
19	0.05970335688
20	0.05907417507
21	0.05856001865
22	0.05793647106
23	0.05745780613
24	0.05696745162
25	0.05652834276
26	0.05598951139
27	0.05563422258
28	0.05524206654
29	0.0549339203
30	0.05453748067
31	0.05429440214
32	0.05405408599
33	0.05366985696
34	0.05337682521
35	0.05309881632
36	0.05282554874
37	0.05261768233
38	0.05242671466
39	0.05219458311
40	0.05204250428
41	0.05181552875
42	0.05158238865
43	0.05142035
44	0.0513038543
45	0.05112219979
46	0.05096031809
47	0.05080767439
48	0.05070510458
49	0.05052215812
50	0.05031673608
51	0.05016246167
52	0.05002854664
53	0.04992225489
54	0.04965185787
55	0.04957412634
56	0.04933990936
57	0.04924325518
58	0.04900240113
59	0.04888795783
60	0.04855165415
61	0.04846790043
62	0.04840372301
63	0.0482004291
64	0.04803315172
65	0.04792253347
66	0.04775464992
67	0.04761294965
68	0.04745568353
69	0.04718505063
70	0.04695667627
71	0.0466869886
72	0.04659499976
73	0.04636720881
74	0.04629930412
75	0.04612246304
76	0.04598882285
77	0.04589906616
78	0.04578457291
79	0.04573196328
80	0.0456197674
81	0.04549047153
82	0.04536093731
83	0.04524802146
84	0.04509669392
85	0.04502100058
86	0.0449221779
87	0.04466301884
88	0.04457440146
89	0.04436538859
90	0.04427860849
91	0.04410887807
92	0.0440711778
93	0.04382870956
94	0.04371226233
95	0.04361746329
96	0.0435280739
97	0.04346119843
98	0.04325792919
99	0.04321959698
100	0.04317830363
101	0.04308491307
102	0.04300973133
103	0.042964326
104	0.04290111
105	0.04282681206
106	0.04272653989
107	0.04260292099
108	0.04253404988
109	0.04246337942
110	0.04235449904
111	0.04228069727
112	0.04221509408
113	0.0421621132
114	0.04208884852
115	0.04193847781
116	0.04182358152
117	0.04163150722
118	0.04144894611
119	0.04142041307
120	0.04132000549
121	0.04114975139
122	0.04107081223
123	0.04099965415
124	0.04092300445
125	0.04082824339
126	0.04077530046
127	0.04065958925
128	0.04057623833
129	0.04052351597
130	0.04042058054
131	0.04031909745
132	0.04017483227
133	0.04009790287
134	0.04000639623
135	0.03991727286
136	0.03982694166
137	0.03970768594
138	0.03958122377
139	0.03950261455
140	0.03942766306
141	0.03933139815
142	0.03924076409
143	0.03917796473
144	0.03911436781
145	0.03905058479
146	0.03899310257
147	0.03892293769
148	0.03888917202
149	0.03885188309
150	0.0387644665
151	0.03868943793
152	0.03863895854
153	0.03858133491
154	0.03855132954
155	0.03844341201
156	0.03836256284
157	0.03831905134
158	0.03829393173
159	0.03822283171
160	0.03816613282
161	0.03811617444
162	0.0380402607
163	0.03797405235
164	0.0378955118
165	0.03785153428
166	0.03776376481
167	0.03767805244
168	0.03761051484
169	0.03751838517
170	0.03746765938
171	0.03741284558
172	0.03731129363
173	0.03724976429
174	0.03713417576
175	0.03708145731
176	0.03705012258
177	0.03702148035
178	0.03696976507
179	0.03688444696
180	0.0368441512
181	0.03675134003
182	0.03669014783
183	0.03660822881
184	0.03653192701
185	0.03648638842
186	0.0364263182
187	0.0363611848
188	0.03630169415
189	0.03621070082
190	0.03615947655
191	0.03608160919
192	0.03603907463
193	0.03598938073
194	0.03592191189
195	0.03584325678
196	0.03579018504
197	0.03575513825
198	0.03568546439
199	0.03563439899
200	0.0355760794
201	0.03553493112
202	0.0354648078
203	0.0353495619
204	0.03530450369
205	0.03523823876
206	0.0351994885
207	0.03511873957
208	0.03508137913
209	0.03505685288
210	0.03501895528
211	0.03496729293
212	0.03490462683
213	0.03484161304
214	0.03478288652
215	0.03475730038
216	0.03468455948
217	0.03465365508
218	0.03459906218
219	0.03454798472
220	0.03450053709
221	0.03442165793
222	0.03437471764
223	0.03432061063
224	0.03427972035
225	0.03419926363
226	0.03415053215
227	0.03407874761
228	0.03403359721
229	0.03396143686
230	0.03389234358
231	0.03385367663
232	0.03383250817
233	0.03377825257
234	0.03375262301
235	0.03373159909
236	0.03366192117
237	0.03362243338
238	0.03354828934
239	0.03352922743
240	0.03349747891
241	0.03346672238
242	0.03342449629
243	0.03337525418
244	0.03330151771
245	0.03327820157
246	0.03321781613
247	0.03317626528
248	0.03313062407
249	0.03308951592
250	0.0330474999
251	0.03300196244
252	0.03296337332
253	0.03290661542
254	0.03286210721
255	0.03282522904
256	0.03276480885
257	0.03272809228
258	0.03266267292
259	0.03259515121
260	0.0325440958
261	0.03250350298
262	0.03245384169
263	0.0324141792
264	0.03236821247
265	0.03233054824
266	0.03230326516
267	0.03226474354
268	0.03222521127
269	0.03218991062
270	0.0321367909
271	0.03209020115
272	0.03203561684
273	0.03196949963
274	0.03191423078
275	0.03187372997
276	0.03183204162
277	0.03179165292
278	0.03176265879
279	0.03172264786
280	0.03167861444
281	0.03164249268
282	0.03161335617
283	0.03156640452
284	0.03150385198
285	0.03144997927
286	0.03137947142
287	0.03133754012
288	0.03129435289
289	0.03126418998
290	0.03124141279
291	0.0312089073
292	0.0311848939
293	0.03116296327
294	0.03110841448
295	0.03107684417
296	0.03103314739
297	0.03096454853
298	0.03093641257
299	0.03091489836
300	0.03087726649
301	0.03084493382
302	0.03082590332
303	0.03079758927
304	0.03075477576
305	0.03071794278
306	0.03066629709
307	0.03063075473
308	0.03060533451
309	0.03056766202
310	0.03051387069
311	0.03048725289
312	0.03046176126
313	0.03044123507
314	0.03039061357
315	0.03036556918
316	0.03033503456
317	0.03030639968
318	0.03028508123
319	0.03024096527
320	0.03019271264
321	0.03016023767
322	0.03012146784
323	0.03008971421
324	0.03005520725
325	0.03003901419
326	0.03000016602
327	0.02996611926
328	0.02994202169
329	0.02991526629
330	0.02988534817
331	0.0298454908
332	0.02983159141
333	0.02980965499
334	0.02977462377
335	0.02973433124
336	0.02970681183
337	0.02968307961
338	0.02964329593
339	0.02961902521
340	0.0296019466
341	0.02958547371
342	0.02955390592
343	0.0295208131
344	0.02949473515
345	0.02945542732
346	0.02942533361
347	0.02938566945
